,KBtuh_Heating,KBTUh_Cooling,OA_Temp
2021-02-08 13:00:00-05:00,22260.89668,6115.753692,36.73
2021-02-08 13:15:00-05:00,22473.18017,5931.42885,37.92
2021-02-08 13:30:00-05:00,21377.7142,6120.3924,36.01
2021-02-08 13:45:00-05:00,23596.23165,6026.174086,35.29
2021-02-08 14:00:00-05:00,23229.92458,5694.446215,34.57
2021-02-08 14:15:00-05:00,22050.74675,5694.446215,41.85
2021-02-08 14:45:00-05:00,22074.01615,6028.614436,45.66
2021-02-08 15:00:00-05:00,23323.85717,5766.015375,45
2021-02-08 15:15:00-05:00,23033.45043,5610.898731,41.4
2021-02-08 15:30:00-05:00,21888.89412,5545.194009,38.86
2021-02-08 16:00:00-05:00,21827.73528,5983.088895,34.09
2021-02-08 16:15:00-05:00,22583.51837,5775.989598,34.09
2021-02-08 17:15:00-05:00,22634.98191,6088.572564,31.89
2021-02-08 18:00:00-05:00,22962.84384,6078.05856,31.89
2021-02-08 18:15:00-05:00,23751.69066,6319.070415,31.39
2021-02-08 18:30:00-05:00,23957.02855,6380.019135,31.39
2021-02-08 18:45:00-05:00,22877.38002,6471.504315,30.65
2021-02-08 19:00:00-05:00,23802.67142,6520.746227,30.65
2021-02-08 19:15:00-05:00,24160.05109,5943.608936,30.13
2021-02-08 20:15:00-05:00,23136.84498,6210.887638,29.37
2021-02-08 20:30:00-05:00,23615.4371,6200.162415,28.85
2021-02-08 21:00:00-05:00,24532.8611,6503.769507,28.35
2021-02-08 21:30:00-05:00,23817.89458,6751.270249,28.35
2021-02-08 22:15:00-05:00,24681.3499,6422.28372,27.55
2021-02-08 22:30:00-05:00,23643.52555,6496.289477,27.03
2021-02-08 23:30:00-05:00,24492.5778,5309.416538,27.03
2021-02-08 23:45:00-05:00,24215.70183,5064.584429,27.55
2021-02-09 03:00:00-05:00,24094.47862,6090.829168,27.03
2021-02-09 03:30:00-05:00,24038.82789,5357.797212,27.55
2021-02-09 03:45:00-05:00,23298.28028,5604.384123,28.08
2021-02-09 04:00:00-05:00,23961.29847,6119.615579,28.08
2021-02-09 06:45:00-05:00,27329.02815,6945.11415,28.6
2021-02-09 07:00:00-05:00,25979.94474,6142.93482,29.12
2021-02-09 07:15:00-05:00,26585.5026,6771.479954,29.62
2021-02-09 07:45:00-05:00,27246.44533,6119.615579,29.62
2021-02-09 08:00:00-05:00,25849.2865,6997.453038,30.65
2021-02-09 08:15:00-05:00,25212.94773,5610.898731,31.15
2021-02-09 11:15:00-05:00,24967.16757,5317.757405,31.15
2021-02-09 11:30:00-05:00,24385.6848,5517.482858,30.4
2021-02-09 13:15:00-05:00,23676.81931,4903.36956,30.9
2021-02-09 13:30:00-05:00,24173.21651,4826.264475,30.9
2021-02-09 13:45:00-05:00,24716.10508,4070.1285,30.4
2021-02-09 22:45:00-05:00,23492.11867,6686.774944,30.9
2021-02-09 23:00:00-05:00,24637.34822,5902.992019,30.4
2021-02-09 23:15:00-05:00,23816.22495,5902.992019,30.4
2021-02-09 23:30:00-05:00,23648.40785,6202.30728,29.88
2021-02-10 00:00:00-05:00,23146.43885,5809.889196,29.88
2021-02-10 00:15:00-05:00,24038.82789,6271.609027,29.12
2021-02-10 02:00:00-05:00,23982.4824,5552.357085,27.82
2021-02-10 02:30:00-05:00,23927.61979,5117.731613,27.3
