,HRCH_1_CondPressure(psi),HRCH_1_CondSatTemp(°F),HRCH_1_EvapPressure(psi),HRCH_1_EvapSatTemp(°F),HRCH_1_SuctionTemp(°F),HW_Sys_GhwDifPr(psi),HW_Sys_GhwRTmp(°F),HW_Sys_HrCh_HrChGhwSTmp(°F)
4/8/2022 14:15,,,,,,15,113.6,113.5
4/8/2022 14:30,,,,,,15,120.7,119
4/8/2022 14:45,,,,,,15,139.6,140.8
4/8/2022 15:00,,,,,,15,111.4,111.1
4/8/2022 15:15,,,,,,15,108.5,108.6
4/8/2022 15:30,,,,,,16.4,110.6,110.9
4/8/2022 15:45,,,,,,15.3,101.3,100.9
4/8/2022 16:00,,,,,,15,109.7,110.5
4/8/2022 16:15,,,,,,15,109.7,109.5
4/8/2022 16:30,,,,,,15,110.2,110.2
4/8/2022 16:45,,,,,,15,105.7,106.2
4/8/2022 17:00,,,,,,15,109.6,109.8
4/8/2022 17:15,,,,,,15,110.9,111.1
4/8/2022 17:30,,,,,,15.7,110.2,109.7
4/8/2022 17:45,,,,,,15.1,107.5,108.3
4/8/2022 18:00,,,,,,15.1,113.7,113.4
4/8/2022 18:15,,,,,,15.1,104.8,105.2
4/8/2022 18:30,,,,,,15,110.2,109.8
4/8/2022 18:45,,,,,,15,109.5,109.9
4/8/2022 19:00,,,,,,15,104.9,104.7
4/8/2022 19:15,,,,,,15,109.3,109.6
4/8/2022 19:30,,,,,,15,112.6,112.8
4/8/2022 19:45,,,,,,15,106,105.7
4/8/2022 20:00,,,,,,15,108.3,108.5
4/8/2022 20:15,,,,,,15,109.5,109.6
4/8/2022 20:30,,,,,,15,107.8,108.2
4/8/2022 20:45,,,,,,15,109.2,109.5
4/8/2022 21:00,,,,,,15.1,107.7,108.3
4/8/2022 21:15,,,,,,15.9,108.2,108.6
4/8/2022 21:30,,,,,,15.2,79,78.8
4/8/2022 21:45,,,,,,15,100.7,102.1
4/8/2022 22:00,,,,,,15,111,112.4
4/8/2022 22:15,,,,,,15,103.5,102.8
4/8/2022 22:30,,,,,,15,109.4,109.7
4/8/2022 22:45,,,,,,15,98.7,100.4
4/8/2022 23:00,,,,,,15,111.4,112.1
4/8/2022 23:15,,,,,,15,116.3,119.1
4/8/2022 23:30,,,,,,15.8,131.6,127.6
4/8/2022 23:45,,,,,,15.1,132.8,136.9
4/9/2022 0:00,,,,,,15,135.2,133.4
4/9/2022 0:15,,,,,,15,116.2,119
4/9/2022 0:30,,,,,,15,137.9,137.3
4/9/2022 0:45,,,,,,15,123,127.7
4/9/2022 1:00,,,,,,15,134,137.7
4/9/2022 1:15,,,,,,15,119.9,107.1
4/9/2022 1:30,,,,,,15,111.8,109.9
4/9/2022 1:45,,,,,,15,110,109.1
4/9/2022 2:00,,,,,,15,100.2,100.4
4/9/2022 2:15,,,,,,15,112.7,111.5
4/9/2022 2:30,,,,,,15,98,97.3
4/9/2022 2:45,,,,,,15,109,109.5
4/9/2022 3:00,,,,,,16.3,110.3,111.8
4/9/2022 3:15,,,,,,15.3,108.9,107.5
4/9/2022 3:30,,,,,,15,99.8,102.5
4/9/2022 3:45,,,,,,15,100.8,100.5
4/9/2022 4:00,,,,,,15,113.2,112.9
4/9/2022 4:15,,,,,,15,93.4,93.3
4/9/2022 4:30,,,,,,15,100.8,103.1
4/9/2022 4:45,,,,,,15,115.1,114.1
4/9/2022 5:00,,,,,,15,94,94.1
4/9/2022 5:15,,,,,,15,101.7,102.6
4/9/2022 5:30,,,,,,15,104.9,113.9
4/9/2022 5:45,,,,,,15,92.7,92.6
4/9/2022 6:00,,,,,,15,96.6,96.9
4/9/2022 6:15,,,,,,15,102.6,103
4/9/2022 6:30,,,,,,15,104.1,106
4/9/2022 6:45,,,,,,15,104.1,105.8
4/9/2022 7:00,,,,,,15,106.2,105.7
4/9/2022 7:15,,,,,,15,104.7,112.9
4/9/2022 7:30,,,,,,15,105.2,110.8
4/9/2022 7:45,,,,,,15,103.6,108.8
4/9/2022 8:00,,,,,,15,107.9,108.7
4/9/2022 8:15,,,,,,15,106.3,119.1
4/9/2022 8:30,,,,,,15,100.9,101.1
4/9/2022 8:45,,,,,,5.7,112.2,113.4
4/9/2022 9:00,,,,,,15.5,100.8,102.2
4/9/2022 9:15,,,,,,15.1,114,113.4
4/9/2022 9:30,,,,,,15,107.6,107.5
4/9/2022 9:45,,,,,,15,122.1,122.3
4/9/2022 10:00,,,,,,15,110.3,111.9
4/9/2022 10:15,,,,,,1.7,132.3,137.3
4/9/2022 10:30,,,,,,15.3,116.5,120.6
4/9/2022 10:45,,,,,,15.1,116.5,122.4
4/9/2022 11:00,,,,,,15,115.7,122.9
4/9/2022 11:15,,,,,,15,108.9,114.1
4/9/2022 11:30,,,,,,15,122.2,129.1
4/9/2022 11:45,,,,,,15,114.3,120.8
4/9/2022 12:00,,,,,,15,114.5,116
4/9/2022 12:15,,,,,,15.1,115.8,115.8
4/9/2022 12:30,,,,,,15,117.4,118.7
4/9/2022 12:45,,,,,,15,116.1,115.9
4/9/2022 13:00,,,,,,15,115.2,114.6
4/9/2022 13:15,166,118,39,43.1,685.8,16.5,122.1,119.2
4/9/2022 13:30,162,116.2,39,43.1,685.8,15.2,115.8,116.2
4/9/2022 13:45,159,115.1,39,43.1,685.8,15.1,115.2,115.2
4/9/2022 14:00,170,119.4,39,43.1,685.8,15,124.7,121.8
4/9/2022 14:15,158,114.6,40,44.4,685.8,15,116.1,115.4
4/9/2022 14:30,166,117.8,40,44,685.8,15,119.9,119
4/9/2022 14:45,153,112.5,40,44,685.8,15,112.7,112.7
4/9/2022 15:00,168,118.6,40,44,685.8,15,120.4,119.4
4/9/2022 15:15,155,113.4,40,44.4,685.8,15,117.5,113.8
