,AHU-1 OA EWL TempF,AHU-1 CC TempF,AHU-1 Clg Output,AHU-1 OA Flow,AHU-1 Cooling Btuh,AHU-2 OA EWL Temp,AHU-2 CC Temp,AHU-2 CC Output,AHU-2 OA Flow,AHU-2 Cooling Btuh,eQuest OA Temp,eQuest CC Temp,eQuest AEC Temp,eQuest CC Output Btuh,eQuest System Airflow,Alarm
7/1/2022 8:00,66.075,60.275,35.675,10942.9,68546.3256,65.55,54.45,71.475,14406.75,172708.119,61,0,0,0,0,0
7/1/2022 9:00,66.375,59.825,21.7,11214.7,79332.7878,66.45,54.225,75.275,13839.66667,182725.119,63,0,0,0,0,2
7/1/2022 10:00,68.175,59.5,73.475,12327.81667,115499.3143,68.925,54.925,98.375,14896.5,225235.08,63,0,0,0,0,1
7/1/2022 11:00,70.5,59.3,5.35,14574,176287.104,71.625,54.675,100,14987.16667,274355.073,64,53.1683,68,538685,17008.3,1
7/1/2022 12:00,72.525,61.375,31.85,14826.5,178540.713,73.125,54.175,83,14987,306723.942,64,53.2244,68,519204,16356.2,0
7/1/2022 13:00,73.8,60.25,49.425,15408.25,225484.3305,74.55,54.475,86.85,14987,324933.147,63,53.2589,67,453794,15869.4,1
7/1/2022 14:00,74.625,61.475,54.525,15509.06667,220259.7648,75,54.15,90.9,14987,337477.266,63,53.3044,67,435853,15271.4,2
7/1/2022 15:00,74.925,60.975,47.15,15353.21667,231311.5623,75.075,54.3,93.85,14987,336263.319,63,53.3315,66,421242,14889.7,2
7/1/2022 16:00,75,61.2,40.775,15935.03333,237495.7368,74.85,54.3,92.45,14987,332621.478,62,53.3503,65,369926,14670.2,2
7/1/2022 17:00,75.2,61.725,41.95,15451.85,224870.773,74.7,54.225,89.9,14987,331407.531,62,53.4095,65,348488,13876.1,1
7/1/2022 18:00,74.9,62.05,39.5,15186.58333,210759.4035,74.325,54.425,92.2,14987,322100.604,63,53.501,65,349627,12589.2,1
7/1/2022 19:00,73.725,60.925,60.65,13952.35,192877.2864,73.125,54.325,91.8,14954.83333,303642.936,63,0,0,0,0,0
7/1/2022 20:00,72.65,60.35,35.3,14128.03333,187676.7948,72.225,54.1,88.9,14978.33333,293200.875,62,0,0,0,0,1
7/1/2022 21:00,71.65,60.05,27.825,13982.03333,175166.9136,71.25,54.65,90.725,14978,268525.584,62,0,0,0,0,2
7/1/2022 22:00,70.15,59.55,40.725,13248.78333,151672.0716,69.975,54.475,86.425,14579,244052.46,62,0,0,0,0,2
7/1/2022 23:00,69.875,61.4,48.525,12821.45,117354.7319,69.45,54.5,90.9,14687.66667,237147.066,62,0,0,0,0,0
7/2/2022 0:00,74.35,62.05,17,3790.85,50357.6514,72.675,58.2,22.375,3959,61891.047,61,0,0,0,0,2
7/2/2022 1:00,76.225,65.775,0,2334.15,26343.2169,73.9,61.925,0,1881.666667,24335.595,62,0,0,0,0,1
7/2/2022 2:00,76,67.05,0,2759.183333,26670.2661,73.9,63.65,0,2048,22671.36,62,0,0,0,0,1
7/2/2022 3:00,75.85,67.875,0,2667.283333,22973.31135,73.675,64.7,0,2028.333333,19660.635,62,0,0,0,0,1
7/2/2022 4:00,75.7,68.625,0,2711.383333,20717.68005,73.6,65.525,0,2265.833333,19760.3325,62,0,0,0,0,1
7/2/2022 5:00,75.625,69.15,0,2761.316667,19309.88745,73.3,66.2,0,1918,14707.224,63,0,0,0,0,0
7/2/2022 6:00,75.325,69.6,0,2364.833333,14621.7645,73.15,66.575,0,1912.833333,13583.0295,62,53.5348,62,9611.18,390.922,2
7/2/2022 7:00,74.95,69.6,0,1457.066667,8418.9312,72.625,66.8,0,1196.333333,7526.133,62,53.5562,62,234976,9577.76,2
7/2/2022 8:00,74.5,69.825,0,1760.716667,8889.85845,72.325,66.875,0,1433.5,8437.581,63,53.5562,63,298427,10610.1,1
7/2/2022 9:00,74.2,69.6,0,1895.3,9415.8504,72.1,66.75,0,1044.833333,6037.047,63,53.5536,64,245112,8835.01,2
7/2/2022 10:00,69.875,60.875,18.6,8289.766667,80576.532,69.625,56.85,64.425,11090.16667,153011.0295,64,53.5507,65,295606,9447.96,2
7/2/2022 11:00,68.375,60.725,47.425,10817.38333,89373.2211,68.1,54.175,85.925,14115.66667,212285.511,64,53.2741,66,502312,15877.7,0
7/2/2022 12:00,68.65,61.175,46.05,11930.71667,96316.67565,68.475,54.275,87.1,14510.5,222533.028,65,53.2534,68,570560,16123.9,2
7/2/2022 13:00,69.275,60.55,35.6,12145.55,114447.5177,68.775,54.2,87,14455.83333,227549.2725,65,53.2618,68,560370,15912.3,2
7/2/2022 14:00,69.975,61.425,47.2,12235.8,112985.3772,69.975,54.325,90.1,14543.16667,245808.603,64,53.2598,67,498650,15860,2
7/2/2022 15:00,71.5,60.025,35.925,13745.48333,170347.775,71.775,54.125,92.525,14906,284138.172,64,53.2734,67,494677,15711.4,0
7/2/2022 16:00,72.7,60.75,50.525,12910.41667,166621.8375,72.6,54.275,95.6,14968,296231.688,64,53.2792,67,491870,15629.9,0
7/2/2022 17:00,72.9,61.575,49.575,13260.66667,162191.214,72.75,54.1,89.35,14979.83333,301723.803,63,53.2716,64,449309,15737.9,0
