,ChW_Sys_Hrch_HrChDifPr(psi),HRCH_1_CondPressure(psi),HRCH_1_LvgCondWtrTmp(°F),HRCH_1_LvgEvapWtrTmp(°F),HwTmpResetSpt_HwVlvPosMax(%),HW_Sys_HrCh_GhwP04Spd(%),HW_Sys_HrCh_GhwP05Spd(%),HW_Sys_HrCh_HrChGhwSTmp(°F),HW_Sys_HrCh_HrchIsoVlvPos(%),Alarm
4/29/2022 0:00,1.4,,92.6,61.7,,,,,,2
4/29/2022 0:15,1.1,,94.2,61.5,,,,,,2
4/29/2022 0:30,1.1,,88.3,61.7,,,,,,0
4/29/2022 0:45,1.3,,92.8,61.8,,,,,,3
4/29/2022 1:00,1.1,,83.4,62,,,,,,0
4/29/2022 1:15,1.1,,120.5,47.8,,,,,,1
4/29/2022 1:30,1.2,,103.2,48.9,,,,,,3
4/29/2022 1:45,1,,110.3,48.7,,,,,,0
4/29/2022 2:00,1.2,,113.1,48.5,,,,,,2
4/29/2022 2:15,0.9,,94.8,46.5,,,,,,2
4/29/2022 2:30,1.2,,105.4,46,,,,,,0
4/29/2022 2:45,0.9,,92.4,53.6,,,,,,3
4/29/2022 3:00,1.2,,87,52.3,,,,,,2
4/29/2022 3:15,0.8,,91,52.3,,,,,,0
4/29/2022 3:30,1.1,,83.6,53.2,,,,,,3
4/29/2022 3:45,1.1,,85.2,53,,,,,,1
4/29/2022 4:00,1.1,,84.3,53.2,,,,,,0
4/29/2022 4:15,0.9,,90.1,53.4,,,,,,3
4/29/2022 4:30,1.2,,87.9,53.7,,,,,,0
4/29/2022 4:45,1.3,,88.7,53.7,,,,,,3
4/29/2022 5:00,1.1,,87,54.1,,,,,,3
4/29/2022 5:15,1.2,,89.4,54.3,,,,,,1
4/29/2022 5:30,1,,100.9,54.3,,,,,,3
4/29/2022 5:45,1.3,,84.2,54.6,,,,,,1
4/29/2022 6:00,1.1,,86.7,54.8,,,,,,0
4/29/2022 6:15,1.3,,97.5,55,,,,,,3
4/29/2022 6:30,1.1,,102.5,55.5,,,,,,1
4/29/2022 6:45,0.9,,104.9,55.9,,,,,,0
4/29/2022 7:00,1.3,,103.8,55.9,,,,,,0
4/29/2022 7:15,1.1,,102.2,56.3,,,,,,2
4/29/2022 7:30,1,,102.9,56.4,,,,,,2
4/29/2022 7:45,1.2,,111.7,56.6,,,,,,3
4/29/2022 8:00,1.1,,102.2,56.8,,,,,,0
4/29/2022 8:15,0.9,,100.5,57.2,,,,,,3
4/29/2022 8:30,1.1,,106.7,57.3,,,,,,2
4/29/2022 8:45,0.9,,96.6,57.7,,,,,,0
4/29/2022 9:00,1.1,,103.2,57.9,,,,,,2
4/29/2022 9:15,1.2,,111.2,58.1,,,,,,3
4/29/2022 9:30,1.3,,101.8,58.2,,,,,,2
4/29/2022 9:45,0.9,,108.6,58.6,,,,,,0
4/29/2022 10:00,1.1,,101.1,58.8,,,,,,1
4/29/2022 10:15,1,,108.5,59,,,,,,2
4/29/2022 10:30,1.2,,112.4,59,,,,,,3
4/29/2022 10:45,0.8,,109.7,59.3,,,,,,0
4/29/2022 11:00,1.5,,110.6,59.7,,,,,,1
4/29/2022 11:15,1.1,,114.9,59.9,,,,,,3
4/29/2022 11:30,1.3,,108.5,59.9,,,,,,2
4/29/2022 11:45,1.1,,103.2,60,,,,,,1
4/29/2022 12:00,1.1,,96.2,60.6,,,,,,3
4/29/2022 12:15,1.1,,104.9,60.6,,,,,,2
4/29/2022 12:30,1.4,,101.6,60.8,,,,,,1
4/29/2022 12:45,1.2,,95.5,61.1,,,,,,0
4/29/2022 13:00,1.2,,95.1,61.3,,,,,,2
4/29/2022 13:15,1.4,,101.8,61.3,,,,,,3
4/29/2022 13:30,1.1,,93,61.5,,,,,,3
4/29/2022 13:45,1.1,,97.8,61.8,,,,,,3
4/29/2022 14:00,1.2,,103.1,62,,,,,,3
4/29/2022 14:15,0.9,,124.5,48.2,,,,,,3
4/29/2022 14:30,1.3,,141.9,51.4,,,,,,2
4/29/2022 14:45,1.2,,116.9,58.8,,,,,,0
4/29/2022 15:00,1,,132,54.5,,,,,,1
4/29/2022 15:15,1.2,,109.9,58.8,,,,,,0
4/29/2022 15:30,0.8,,110.4,57.9,,,,,,0
4/29/2022 15:45,1,,110.1,57.2,,,,,,2
4/29/2022 16:00,0.9,,110.6,58.4,,,,,,2
4/29/2022 16:15,1.1,,110.8,58.4,,,,,,1
4/29/2022 16:30,1.1,,109,58.6,,,,,,1
4/29/2022 16:45,1.2,,109.2,59,,,,,,2
4/29/2022 17:00,0.9,,108.8,59.1,,,,,,0
4/29/2022 17:15,1,,105,59.1,,,,,,2
4/29/2022 17:30,1.1,,107.9,59.5,,,,,,3
4/29/2022 17:45,1.2,,108.3,60,,,,,,1
4/29/2022 18:00,1.4,,103.8,60.2,,,,,,1
4/29/2022 18:15,1.1,,107.2,60.4,,,,,,1
4/29/2022 18:30,0.9,,102.5,60.8,,,,,,3
4/29/2022 18:45,0.8,,104.5,60.9,,,,,,0
4/29/2022 19:00,1.1,,101.8,61.1,,,,,,1
4/29/2022 19:15,1.2,,103.4,61.3,,,,,,0
4/29/2022 19:30,1,,105,61.7,,,,,,1
4/29/2022 19:45,1,,105.9,61.8,,,,,,2
4/29/2022 20:00,1.3,,104.5,62,,,,,,2
4/29/2022 20:15,1.4,,130.6,48.5,,,,,,3
4/29/2022 20:30,1,,118.4,62.4,,,,,,2
4/29/2022 20:45,1,,134.9,49.2,,,,,,3
4/29/2022 21:00,1.2,,134.9,51,,,,,,2
4/29/2022 21:15,1.1,,128.8,59,,,,,,3
4/29/2022 21:30,1.1,,104.3,57.3,,,,,,2
4/29/2022 21:45,1.2,,96.4,55.5,,,,,,3
4/29/2022 22:00,0.9,,103.6,57,,,,,,1
4/29/2022 22:15,1,,89.2,57.3,,,,,,3
4/29/2022 22:30,1.3,,93,57,,,,,,3
4/29/2022 22:45,0.9,,86.7,57.5,,,,,,1
4/29/2022 23:00,1.1,,85.6,57.5,,,,,,2
4/29/2022 23:15,1,,85.1,57.9,,,,,,1
4/29/2022 23:30,1,,90.5,58.1,,,,,,1
4/29/2022 23:45,1,,88.1,58.4,,,,,,0
4/30/2022 0:00,1.2,,87.2,58.4,,,,,,3
4/30/2022 0:15,0.9,,91.4,58.8,,,,,,2
4/30/2022 0:30,1.1,,92.4,59.1,,,,,,0
4/30/2022 0:45,1.1,,85.1,59.3,,,,,,1
4/30/2022 1:00,1.4,,88.5,59.3,,,,,,2
4/30/2022 1:15,1,,83.6,59.7,,,,,,3
4/30/2022 1:30,1,,89,60,,,,,,3
4/30/2022 1:45,1,,82.2,60,,,,,,2
4/30/2022 2:00,1.1,,82.5,60.2,,,,,,3
4/30/2022 2:15,1.1,,89.6,60.6,,,,,,1
4/30/2022 2:30,0.7,,85.1,60.6,,,,,,3
4/30/2022 2:45,1.3,,88.5,60.9,,,,,,2
4/30/2022 3:00,0.8,,91.7,61.1,,,,,,2
4/30/2022 3:15,1,,89.9,61.3,,,,,,1
4/30/2022 3:30,1.2,,85.6,61.3,,,,,,1
4/30/2022 3:45,1.1,,90.1,61.5,,,,,,3
4/30/2022 4:00,1,,86.9,61.8,,,,,,1
4/30/2022 4:15,1.1,,91.5,61.8,,,,,,2
4/30/2022 4:30,1.4,,92.4,53.4,,,,,,0
4/30/2022 4:45,1,,105.4,48.9,,,,,,2
4/30/2022 5:00,0.7,,102.2,48.3,,,,,,3
4/30/2022 5:15,0.9,,112.2,47.1,,,,,,1
4/30/2022 5:30,1.1,,94.4,47.6,,,,,,0
4/30/2022 5:45,1.1,,108.1,47.1,,,,,,0
4/30/2022 6:00,0.9,,106.5,45.8,,,,,,3
4/30/2022 6:15,0.9,,90.8,53.2,,,,,,0
4/30/2022 6:30,1.1,,105.6,52.8,,,,,,1
4/30/2022 6:45,1.1,,94.4,52.8,,,,,,3
4/30/2022 7:00,1.2,,98,53.6,,,,,,3
4/30/2022 7:15,1.1,,99.3,53.9,,,,,,2
4/30/2022 7:30,1.1,,94.2,54.1,,,,,,1
4/30/2022 7:45,1,,104.7,54.5,,,,,,0
4/30/2022 8:00,1.2,,91.7,54.8,,,,,,3
4/30/2022 8:15,1.2,,103.6,54.8,,,,,,2
4/30/2022 8:30,1.3,,90.8,55.4,,,,,,2
4/30/2022 8:45,1.1,,104.7,55.7,,,,,,2
4/30/2022 9:00,1.4,,93.7,55.7,,,,,,3
4/30/2022 9:15,1,,107.7,55.9,,,,,,3
4/30/2022 9:30,1,,107,56.4,,,,,,1
4/30/2022 9:45,0.9,,107.4,56.8,,,,,,1
4/30/2022 10:00,1.2,,108.1,57,,,,,,3
4/30/2022 10:15,1.1,,107.7,57.3,,,,,,3
4/30/2022 10:30,1.3,,107.2,57.5,,,,,,0
4/30/2022 10:45,1.1,,106.1,57.5,,,,,,3
4/30/2022 11:00,1.1,,111.5,57.9,,,,,,1
4/30/2022 11:15,1.1,,111.9,58.1,,,,,,1
4/30/2022 11:30,0.9,,105.4,58.6,,,,,,1
4/30/2022 11:45,1.2,,109.9,58.8,,,,,,0
4/30/2022 12:00,1.1,,104.7,58.8,,,,,,2
4/30/2022 12:15,1.2,,109.5,59,,,,,,2
4/30/2022 12:30,1.1,,112.2,59.3,,,,,,1
4/30/2022 12:45,1.2,,112.1,59.5,,,,,,3
4/30/2022 13:00,1,,114,59.3,,,,,,1
4/30/2022 13:15,1.3,,116.7,59.9,,,,,,2
4/30/2022 13:30,1.2,,115.1,59.9,,,,,,2
4/30/2022 13:45,1.3,,113.1,59.9,,,,,,2
4/30/2022 14:00,1.1,,111.7,60.4,,,,,,1
4/30/2022 14:15,1.3,,118.4,60.6,,,,,,3
4/30/2022 14:30,1.1,,122.3,60.8,,,,,,2
4/30/2022 14:45,1.1,,134.2,55.7,,,,,,0
4/30/2022 15:00,1.2,,136.4,55.4,,,,,,0
4/30/2022 15:15,1.1,,133.8,55.4,,,,,,3
4/30/2022 15:30,1.3,,135.3,54.1,,,,,,1
4/30/2022 15:45,1.2,,136.5,53,,,,,,1
4/30/2022 16:00,1.2,,124.5,57.3,,,,,,3
4/30/2022 16:15,1.1,,125.2,52.1,,,,,,0
4/30/2022 16:30,1.1,,123,55.7,,,,,,0
4/30/2022 16:45,1.1,,132.6,47.8,,,,,,2
4/30/2022 17:00,1.3,,135.6,45.8,,,,,,0
4/30/2022 17:15,0.7,,136.4,46.7,,,,,,3
4/30/2022 17:30,1.1,,135.6,49.8,,,,,,1
4/30/2022 17:45,0.9,,134.4,49.2,,,,,,0
4/30/2022 18:00,1.2,,134.2,48,,,,,,1
4/30/2022 18:15,0.9,,135.6,45.6,,,,,,3
4/30/2022 18:30,1.2,,132.2,47.1,,,,,,1
4/30/2022 18:45,1.3,,116.4,51.2,,,,,,1
4/30/2022 19:00,1,,128.1,48.2,,,,,,2
4/30/2022 19:15,1,,127,43.7,,,,,,2
4/30/2022 19:30,1.2,,129.3,46.9,,,,,,0
4/30/2022 19:45,1.2,,112.6,50.1,,,,,,0
4/30/2022 20:00,0.9,,119.3,47.8,,,,,,2
4/30/2022 20:15,1,,109.9,48.9,,,,,,3
4/30/2022 20:30,1.2,,118,48.2,,,,,,1
4/30/2022 20:45,1.1,,109.5,48.3,,,,,,2
4/30/2022 21:00,0.9,,109.2,48.3,,,,,,3
4/30/2022 21:15,1,,103.1,48.9,,,,,,2
4/30/2022 21:30,1.1,,106.8,49.1,,,,,,1
4/30/2022 21:45,0.8,,103.8,49.2,,,,,,3
4/30/2022 22:00,1.2,,98,49.6,,,,,,1
4/30/2022 22:15,1.1,,96.9,49.8,,,,,,1
