Timestamp,HRCH_1_CondPressure(psi)
01-May-22 12:00 AM EDT,119
01-May-22 12:15 AM EDT,128
01-May-22 12:30 AM EDT,99
01-May-22 12:45 AM EDT,107
01-May-22 1:00 AM EDT,90
01-May-22 1:15 AM EDT,93
01-May-22 1:30 AM EDT,103
01-May-22 1:45 AM EDT,95
01-May-22 2:00 AM EDT,91
01-May-22 2:15 AM EDT,88
01-May-22 2:30 AM EDT,89
01-May-22 2:45 AM EDT,87
01-May-22 3:00 AM EDT,98
01-May-22 3:15 AM EDT,92
01-May-22 3:30 AM EDT,99
01-May-22 3:45 AM EDT,88
01-May-22 4:00 AM EDT,89
01-May-22 4:15 AM EDT,87
01-May-22 4:30 AM EDT,90
01-May-22 4:45 AM EDT,92
01-May-22 5:00 AM EDT,85
01-May-22 5:15 AM EDT,85
01-May-22 5:30 AM EDT,94
01-May-22 5:45 AM EDT,90
01-May-22 6:00 AM EDT,89
01-May-22 6:15 AM EDT,104
01-May-22 6:30 AM EDT,119
01-May-22 6:45 AM EDT,128
01-May-22 7:00 AM EDT,120
01-May-22 7:15 AM EDT,127
01-May-22 7:30 AM EDT,119
01-May-22 7:45 AM EDT,129
01-May-22 8:00 AM EDT,115
01-May-22 8:15 AM EDT,129
01-May-22 8:30 AM EDT,131
01-May-22 8:45 AM EDT,123
01-May-22 9:00 AM EDT,128
01-May-22 9:15 AM EDT,123
01-May-22 9:30 AM EDT,130
01-May-22 9:45 AM EDT,134
01-May-22 10:00 AM EDT,135
01-May-22 10:15 AM EDT,134
01-May-22 10:30 AM EDT,130
01-May-22 10:45 AM EDT,131
01-May-22 11:00 AM EDT,222
01-May-22 11:15 AM EDT,215
01-May-22 11:30 AM EDT,193
01-May-22 11:45 AM EDT,183
01-May-22 12:00 PM EDT,228
01-May-22 12:15 PM EDT,229
01-May-22 12:30 PM EDT,191
01-May-22 12:45 PM EDT,193
01-May-22 1:00 PM EDT,199
01-May-22 1:15 PM EDT,203
01-May-22 1:30 PM EDT,219
01-May-22 1:45 PM EDT,218
01-May-22 2:00 PM EDT,195
01-May-22 2:15 PM EDT,175
01-May-22 2:30 PM EDT,187
01-May-22 2:45 PM EDT,210
01-May-22 3:00 PM EDT,195
01-May-22 3:15 PM EDT,175
01-May-22 3:30 PM EDT,183
01-May-22 3:45 PM EDT,170
01-May-22 4:00 PM EDT,176
01-May-22 4:15 PM EDT,162
01-May-22 4:30 PM EDT,144
01-May-22 4:45 PM EDT,142
01-May-22 5:00 PM EDT,135
01-May-22 5:15 PM EDT,125
01-May-22 5:30 PM EDT,119
01-May-22 5:45 PM EDT,116
01-May-22 6:00 PM EDT,138
01-May-22 6:15 PM EDT,135
01-May-22 6:30 PM EDT,136
01-May-22 6:45 PM EDT,129
01-May-22 7:00 PM EDT,148
01-May-22 7:15 PM EDT,136
01-May-22 7:30 PM EDT,151
01-May-22 7:45 PM EDT,139
01-May-22 8:00 PM EDT,154
01-May-22 8:15 PM EDT,140
01-May-22 8:30 PM EDT,145
01-May-22 8:45 PM EDT,146
01-May-22 9:00 PM EDT,157
01-May-22 9:15 PM EDT,102
01-May-22 9:30 PM EDT,146
01-May-22 9:45 PM EDT,171
01-May-22 10:00 PM EDT,126
01-May-22 10:15 PM EDT,143
01-May-22 10:30 PM EDT,116
01-May-22 10:45 PM EDT,116
01-May-22 11:00 PM EDT,114
01-May-22 11:15 PM EDT,127
01-May-22 11:30 PM EDT,112
01-May-22 11:45 PM EDT,131
02-May-22 12:00 AM EDT,111
02-May-22 12:15 AM EDT,115
02-May-22 12:30 AM EDT,121
02-May-22 12:45 AM EDT,110
02-May-22 1:00 AM EDT,119
02-May-22 1:15 AM EDT,108
02-May-22 1:30 AM EDT,114
02-May-22 1:45 AM EDT,108
02-May-22 2:00 AM EDT,109
02-May-22 2:15 AM EDT,127
02-May-22 2:30 AM EDT,104
02-May-22 2:45 AM EDT,127
02-May-22 3:00 AM EDT,108
02-May-22 3:15 AM EDT,112
02-May-22 3:30 AM EDT,114
02-May-22 3:45 AM EDT,118
02-May-22 4:00 AM EDT,114
02-May-22 4:15 AM EDT,107
02-May-22 4:30 AM EDT,108
02-May-22 4:45 AM EDT,107
02-May-22 5:00 AM EDT,106
02-May-22 5:15 AM EDT,118
02-May-22 5:30 AM EDT,110
02-May-22 5:45 AM EDT,113
02-May-22 6:00 AM EDT,125
02-May-22 6:15 AM EDT,127
02-May-22 6:30 AM EDT,157
02-May-22 6:45 AM EDT,139
02-May-22 7:00 AM EDT,158
02-May-22 7:15 AM EDT,139
02-May-22 7:30 AM EDT,162
02-May-22 7:45 AM EDT,161
02-May-22 8:00 AM EDT,171
02-May-22 8:15 AM EDT,159
02-May-22 8:30 AM EDT,165
02-May-22 8:45 AM EDT,169
02-May-22 9:00 AM EDT,162
02-May-22 9:15 AM EDT,159
02-May-22 9:30 AM EDT,152
02-May-22 9:45 AM EDT,173
02-May-22 10:00 AM EDT,173
02-May-22 10:15 AM EDT,170
02-May-22 10:30 AM EDT,169
02-May-22 10:45 AM EDT,171
02-May-22 11:00 AM EDT,172
02-May-22 11:15 AM EDT,179
02-May-22 11:30 AM EDT,173
02-May-22 11:45 AM EDT,165
02-May-22 12:00 PM EDT,204
02-May-22 12:15 PM EDT,118
02-May-22 12:30 PM EDT,164
02-May-22 12:45 PM EDT,133
02-May-22 1:00 PM EDT,155
02-May-22 1:15 PM EDT,159
02-May-22 1:30 PM EDT,143
02-May-22 1:45 PM EDT,175
02-May-22 2:00 PM EDT,171
02-May-22 2:15 PM EDT,187
02-May-22 2:30 PM EDT,187
02-May-22 2:45 PM EDT,164
02-May-22 3:00 PM EDT,159
02-May-22 3:15 PM EDT,124
02-May-22 3:30 PM EDT,204
02-May-22 3:45 PM EDT,134
02-May-22 4:00 PM EDT,199
02-May-22 4:15 PM EDT,130
02-May-22 4:30 PM EDT,138
02-May-22 4:45 PM EDT,129
02-May-22 5:00 PM EDT,113
02-May-22 5:15 PM EDT,128
02-May-22 5:30 PM EDT,213
02-May-22 5:45 PM EDT,144
02-May-22 6:00 PM EDT,143
02-May-22 6:15 PM EDT,118
02-May-22 6:30 PM EDT,117
02-May-22 6:45 PM EDT,126
02-May-22 7:00 PM EDT,135
02-May-22 7:15 PM EDT,146
02-May-22 7:30 PM EDT,35
02-May-22 7:45 PM EDT,131
02-May-22 8:00 PM EDT,149
02-May-22 8:15 PM EDT,145
02-May-22 8:30 PM EDT,144
02-May-22 8:45 PM EDT,146
02-May-22 9:00 PM EDT,149
02-May-22 9:15 PM EDT,154
02-May-22 9:30 PM EDT,170
02-May-22 9:45 PM EDT,164
02-May-22 10:00 PM EDT,171
02-May-22 10:15 PM EDT,162
02-May-22 10:30 PM EDT,168
02-May-22 10:45 PM EDT,155
02-May-22 11:00 PM EDT,177
02-May-22 11:15 PM EDT,136
02-May-22 11:30 PM EDT,161
02-May-22 11:45 PM EDT,140
03-May-22 12:00 AM EDT,156
03-May-22 12:15 AM EDT,143
03-May-22 12:30 AM EDT,134
03-May-22 12:45 AM EDT,134
03-May-22 1:00 AM EDT,131
03-May-22 1:15 AM EDT,133
03-May-22 1:30 AM EDT,131
03-May-22 1:45 AM EDT,136
03-May-22 2:00 AM EDT,143
03-May-22 2:15 AM EDT,142
03-May-22 2:30 AM EDT,150
03-May-22 2:45 AM EDT,141
03-May-22 3:00 AM EDT,150
03-May-22 3:15 AM EDT,142
03-May-22 3:30 AM EDT,128
03-May-22 3:45 AM EDT,136
03-May-22 4:00 AM EDT,138
03-May-22 4:15 AM EDT,139
03-May-22 4:30 AM EDT,140
03-May-22 4:45 AM EDT,146
03-May-22 5:00 AM EDT,143
03-May-22 5:15 AM EDT,149
03-May-22 5:30 AM EDT,141
03-May-22 5:45 AM EDT,101
03-May-22 6:00 AM EDT,139
03-May-22 6:15 AM EDT,130
03-May-22 6:30 AM EDT,147
03-May-22 6:45 AM EDT,138
03-May-22 7:00 AM EDT,154
03-May-22 7:15 AM EDT,150
03-May-22 7:30 AM EDT,144
03-May-22 7:45 AM EDT,145
03-May-22 8:00 AM EDT,136
03-May-22 8:15 AM EDT,147
03-May-22 8:30 AM EDT,144
03-May-22 8:45 AM EDT,159
03-May-22 9:00 AM EDT,157
03-May-22 9:15 AM EDT,166
03-May-22 9:30 AM EDT,178
03-May-22 9:45 AM EDT,173
03-May-22 10:00 AM EDT,162
03-May-22 10:15 AM EDT,174
03-May-22 10:30 AM EDT,172
03-May-22 10:45 AM EDT,172
03-May-22 11:00 AM EDT,193
03-May-22 11:15 AM EDT,198
03-May-22 11:30 AM EDT,192
03-May-22 11:45 AM EDT,189
03-May-22 12:00 PM EDT,182
03-May-22 12:15 PM EDT,176
03-May-22 12:30 PM EDT,171
03-May-22 12:45 PM EDT,186
03-May-22 1:00 PM EDT,188
03-May-22 1:15 PM EDT,167
03-May-22 1:30 PM EDT,221
03-May-22 1:45 PM EDT,218
03-May-22 2:00 PM EDT,182
03-May-22 2:15 PM EDT,178
03-May-22 2:30 PM EDT,176
03-May-22 2:45 PM EDT,174
03-May-22 3:00 PM EDT,181
03-May-22 3:15 PM EDT,117
03-May-22 3:30 PM EDT,215
03-May-22 3:45 PM EDT,193
03-May-22 4:00 PM EDT,198
