Timestamp,HRCH_1_LvgCondWtrTmp(°F)
29-Apr-22 12:00 AM EDT,92.6
29-Apr-22 12:15 AM EDT,94.2
29-Apr-22 12:30 AM EDT,88.3
29-Apr-22 12:45 AM EDT,92.8
29-Apr-22 1:00 AM EDT,83.4
29-Apr-22 1:15 AM EDT,120.5
29-Apr-22 1:30 AM EDT,103.2
29-Apr-22 1:45 AM EDT,110.3
29-Apr-22 2:00 AM EDT,113.1
29-Apr-22 2:15 AM EDT,94.8
29-Apr-22 2:30 AM EDT,105.4
29-Apr-22 2:45 AM EDT,92.4
29-Apr-22 3:00 AM EDT,87.0
29-Apr-22 3:15 AM EDT,91.0
29-Apr-22 3:30 AM EDT,83.6
29-Apr-22 3:45 AM EDT,85.2
29-Apr-22 4:00 AM EDT,84.3
29-Apr-22 4:15 AM EDT,90.1
29-Apr-22 4:30 AM EDT,87.9
29-Apr-22 4:45 AM EDT,88.7
29-Apr-22 5:00 AM EDT,87.0
29-Apr-22 5:15 AM EDT,89.4
29-Apr-22 5:30 AM EDT,100.9
29-Apr-22 5:45 AM EDT,84.2
29-Apr-22 6:00 AM EDT,86.7
29-Apr-22 6:15 AM EDT,97.5
29-Apr-22 6:30 AM EDT,102.5
29-Apr-22 6:45 AM EDT,104.9
29-Apr-22 7:00 AM EDT,103.8
29-Apr-22 7:15 AM EDT,102.2
29-Apr-22 7:30 AM EDT,102.9
29-Apr-22 7:45 AM EDT,111.7
29-Apr-22 8:00 AM EDT,102.2
29-Apr-22 8:15 AM EDT,100.5
29-Apr-22 8:30 AM EDT,106.7
29-Apr-22 8:45 AM EDT,96.6
29-Apr-22 9:00 AM EDT,103.2
29-Apr-22 9:15 AM EDT,111.2
29-Apr-22 9:30 AM EDT,101.8
29-Apr-22 9:45 AM EDT,108.6
29-Apr-22 10:00 AM EDT,101.1
29-Apr-22 10:15 AM EDT,108.5
29-Apr-22 10:30 AM EDT,112.4
29-Apr-22 10:45 AM EDT,109.7
29-Apr-22 11:00 AM EDT,110.6
29-Apr-22 11:15 AM EDT,114.9
29-Apr-22 11:30 AM EDT,108.5
29-Apr-22 11:45 AM EDT,103.2
29-Apr-22 12:00 PM EDT,96.2
29-Apr-22 12:15 PM EDT,104.9
29-Apr-22 12:30 PM EDT,101.6
29-Apr-22 12:45 PM EDT,95.5
29-Apr-22 1:00 PM EDT,95.1
29-Apr-22 1:15 PM EDT,101.8
29-Apr-22 1:30 PM EDT,93.0
29-Apr-22 1:45 PM EDT,97.8
29-Apr-22 2:00 PM EDT,103.1
29-Apr-22 2:15 PM EDT,124.5
29-Apr-22 2:30 PM EDT,141.9
29-Apr-22 2:45 PM EDT,116.9
29-Apr-22 3:00 PM EDT,132.0
29-Apr-22 3:15 PM EDT,109.9
29-Apr-22 3:30 PM EDT,110.4
29-Apr-22 3:45 PM EDT,110.1
29-Apr-22 4:00 PM EDT,110.6
29-Apr-22 4:15 PM EDT,110.8
29-Apr-22 4:30 PM EDT,109.0
29-Apr-22 4:45 PM EDT,109.2
29-Apr-22 5:00 PM EDT,108.8
29-Apr-22 5:15 PM EDT,105.0
29-Apr-22 5:30 PM EDT,107.9
29-Apr-22 5:45 PM EDT,108.3
29-Apr-22 6:00 PM EDT,103.8
29-Apr-22 6:15 PM EDT,107.2
29-Apr-22 6:30 PM EDT,102.5
29-Apr-22 6:45 PM EDT,104.5
29-Apr-22 7:00 PM EDT,101.8
29-Apr-22 7:15 PM EDT,103.4
29-Apr-22 7:30 PM EDT,105.0
29-Apr-22 7:45 PM EDT,105.9
29-Apr-22 8:00 PM EDT,104.5
29-Apr-22 8:15 PM EDT,130.6
29-Apr-22 8:30 PM EDT,118.4
29-Apr-22 8:45 PM EDT,134.9
29-Apr-22 9:00 PM EDT,134.9
29-Apr-22 9:15 PM EDT,128.8
29-Apr-22 9:30 PM EDT,104.3
29-Apr-22 9:45 PM EDT,96.4
29-Apr-22 10:00 PM EDT,103.6
29-Apr-22 10:15 PM EDT,89.2
29-Apr-22 10:30 PM EDT,93.0
29-Apr-22 10:45 PM EDT,86.7
29-Apr-22 11:00 PM EDT,85.6
29-Apr-22 11:15 PM EDT,85.1
29-Apr-22 11:30 PM EDT,90.5
29-Apr-22 11:45 PM EDT,88.1
