Timestamp,HW_Sys_HrCh_HrChGhwSTmp(°F)
01-May-22 12:00 AM EDT,102.5
01-May-22 12:15 AM EDT,105.2
01-May-22 12:30 AM EDT,90.0
01-May-22 12:45 AM EDT,94.4
01-May-22 1:00 AM EDT,83.9
01-May-22 1:15 AM EDT,85.5
01-May-22 1:30 AM EDT,92.2
01-May-22 1:45 AM EDT,86.0
01-May-22 2:00 AM EDT,83.5
01-May-22 2:15 AM EDT,82.2
01-May-22 2:30 AM EDT,83.7
01-May-22 2:45 AM EDT,81.7
01-May-22 3:00 AM EDT,88.5
01-May-22 3:15 AM EDT,85.6
01-May-22 3:30 AM EDT,89.5
01-May-22 3:45 AM EDT,83.1
01-May-22 4:00 AM EDT,84.1
01-May-22 4:15 AM EDT,81.6
01-May-22 4:30 AM EDT,83.7
01-May-22 4:45 AM EDT,86.0
01-May-22 5:00 AM EDT,81.1
01-May-22 5:15 AM EDT,80.2
01-May-22 5:30 AM EDT,87.8
01-May-22 5:45 AM EDT,84.9
01-May-22 6:00 AM EDT,82.2
01-May-22 6:15 AM EDT,94.4
01-May-22 6:30 AM EDT,101.9
01-May-22 6:45 AM EDT,110.6
01-May-22 7:00 AM EDT,100.9
01-May-22 7:15 AM EDT,106.2
01-May-22 7:30 AM EDT,101.0
01-May-22 7:45 AM EDT,107.5
01-May-22 8:00 AM EDT,98.4
01-May-22 8:15 AM EDT,107.5
01-May-22 8:30 AM EDT,107.8
01-May-22 8:45 AM EDT,103.5
01-May-22 9:00 AM EDT,109.0
01-May-22 9:15 AM EDT,104.4
01-May-22 9:30 AM EDT,111.4
01-May-22 9:45 AM EDT,111.9
01-May-22 10:00 AM EDT,111.9
01-May-22 10:15 AM EDT,111.5
01-May-22 10:30 AM EDT,109.5
01-May-22 10:45 AM EDT,116.9
01-May-22 11:00 AM EDT,134.8
01-May-22 11:15 AM EDT,134.4
01-May-22 11:30 AM EDT,134.8
01-May-22 11:45 AM EDT,126.0
01-May-22 12:00 PM EDT,136.5
01-May-22 12:15 PM EDT,137.1
01-May-22 12:30 PM EDT,127.8
01-May-22 12:45 PM EDT,133.1
01-May-22 1:00 PM EDT,137.1
01-May-22 1:15 PM EDT,138.2
01-May-22 1:30 PM EDT,134.9
01-May-22 1:45 PM EDT,138.9
01-May-22 2:00 PM EDT,135.4
01-May-22 2:15 PM EDT,122.3
01-May-22 2:30 PM EDT,126.8
01-May-22 2:45 PM EDT,137.1
01-May-22 3:00 PM EDT,134.1
01-May-22 3:15 PM EDT,122.3
01-May-22 3:30 PM EDT,125.7
01-May-22 3:45 PM EDT,120.4
01-May-22 4:00 PM EDT,123.1
01-May-22 4:15 PM EDT,117.7
01-May-22 4:30 PM EDT,109.8
01-May-22 4:45 PM EDT,108.9
01-May-22 5:00 PM EDT,105.8
01-May-22 5:15 PM EDT,101.0
01-May-22 5:30 PM EDT,98.4
01-May-22 5:45 PM EDT,97.0
01-May-22 6:00 PM EDT,106.9
01-May-22 6:15 PM EDT,106.9
01-May-22 6:30 PM EDT,105.3
01-May-22 6:45 PM EDT,102.9
01-May-22 7:00 PM EDT,110.1
